month,settlement_amount,gross_sales,refunds,fees,affiliate_commission,sales_tax
2025-01,1617.63,2052.87,-134.93,-102.28,0.00,-116.25
2025-02,1617.63,2052.87,-134.93,-102.28,0.00,-116.25
2025-03,1617.64,2052.86,-134.94,-102.27,0.00,-116.25
2025-04,2817.37,3427.33,-286.67,-181.89,-33.67,-198.96
2025-05,2817.37,3427.33,-286.67,-181.89,-33.67,-198.96
2025-06,2817.38,3427.34,-286.66,-181.90,-33.68,-198.96
2025-07,1791.19,2242.00,-223.33,-114.79,0.00,-114.07
2025-08,1791.19,2242.00,-223.33,-114.79,0.00,-114.06
2025-09,1791.20,2242.00,-223.34,-114.79,0.00,-114.07
2025-10,6629.87,10828.70,-342.53,-463.09,-6.95,-398.55
2025-11,6629.87,10828.70,-342.53,-463.09,-6.95,-398.55
2025-12,6629.87,10828.70,-342.54,-463.10,-6.96,-398.55
